phi,lambda_eff,V
3.895000358356668e+018,0.01983728004757425,1.141437511777274e+072
4.304641121950021e+018,0.01989062335401474,1.707403640279325e+072
4.757364180731698e+018,0.01994388231479098,2.553967137936294e+072
5.257700539239459e+018,0.01999705748689598,3.82022981682239e+072
5.810657731918109e+018,0.02005014942773303,5.714244266589689e+072
6.421769940207306e+018,0.02010315869511337,8.547188486941968e+072
7.097153380489515e+018,0.02015608584725409,1.278447718618637e+073
7.843567517239294e+018,0.02020893144277667,1.912220265340218e+073
8.668482714015692e+018,0.02026169604070575,2.860145681966805e+073
9.580154999371616e+018,0.02031438020046837,4.277930530435532e+073
1.058770869596255e+019,0.02036698448189363,6.39844846911823e+073
1.170122773983447e+019,0.0204195094914493,9.569980268673506e+073
